,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CC(v),T2CD(v)
60,60,1.9902275377101448,2.08088528568116,1.9780918879130436,1.7388954145797102,2.45922959,3.2974047018260872
35,35,1.6830220542898549,1.652398604434783,1.6096973448695648,1.4915337446086958,1.8092000662028986,2.6364390529565216
10,10,1.402839503381503,1.2694498950578035,1.2672342598265895,1.2723639955202313,1.238657993381503,0.07846418702312138
