,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,57.36541263671954,56.958978868780214,57.147727942076855,57.31263575566314,57.25748217521476,57.299674812390386,57.03839391628042,57.04568391113348
50,50,50.63440555754051,50.747186592130404,50.65763934375579,50.57585225762806,50.405146083711905,50.42188861078007,50.33633897275276,50.30895304967246
45,45,44.59771969714434,44.757131565697,44.669535051007095,44.60180143424038,44.56917072225496,44.558920902112824,44.611903186996955,44.60213655680286
40,40,38.87059973976047,39.03633523963036,38.96922309107811,38.90590100909989,39.018995504513555,38.98983251420112,39.1392343835432,39.15415488833797
35,35,33.611104602040015,33.74101602932351,33.71585363311532,33.694915792922586,33.76184322549563,33.72941375796371,33.91310706034276,33.92406055542737
30,30,28.437032245965806,28.546051443061103,28.51897258750023,28.497463132324302,28.682894485314936,28.639904039976965,28.855489740474866,28.88466130889029
25,25,23.729877339227166,23.788323173643388,23.797487435765344,23.79660605026142,23.932148589182702,23.917438315365214,24.059584318649687,24.062915853491166
20,20,19.184325377784788,19.209969926953242,19.2160643883604,19.212874478280966,19.346155221241496,19.33534308691816,19.42753249268707,19.43546553198127
15,15,15.035222550280116,14.986485664944166,15.011637580865438,15.034872323080231,15.087083452485095,15.115165004922488,15.05565437040258,15.018983396941852
10,10,11.143511522023093,11.025708289837397,11.065943240703943,11.101239616136127,10.93908817094166,10.958137529970058,10.813084821361938,10.804087140395097
5,5,7.390788666653015,7.202813424341368,7.2299157192505055,7.2658381503636535,6.999992412581377,7.034281425399677,6.749676736507653,6.758897806926238
